dataset,name,accent,age,language,podcast,sex,speaker_id,subdataset,subset,type
vox2,id00012,,,,,m,id00012,,train,speakers
vox2,id00015,,,,,m,id00015,,test,speakers
vox2,id00016,,,,,m,id00016,,train,speakers
vox2,id00018,,,,,m,id00018,,train,speakers
vox2,id00019,,,,,m,id00019,,train,speakers
vox2,id00020,,,,,m,id00020,,train,speakers
vox2,id00021,,,,,m,id00021,,train,speakers
vox2,id00022,,,,,f,id00022,,val,speakers
vox2,id00024,,,,,f,id00024,,test,speakers
vox2,id00025,,,,,f,id00025,,train,speakers
vox2,id00026,,,,,m,id00026,,train,speakers
vox2,id00027,,,,,m,id00027,,train,speakers
vox2,id00028,,,,,m,id00028,,train,speakers
vox2,id00029,,,,,m,id00029,,train,speakers
vox2,id00032,,,,,m,id00032,,val,speakers
vox2,id00033,,,,,m,id00033,,test,speakers
vox2,id00035,,,,,m,id00035,,train,speakers
vox2,id00036,,,,,m,id00036,,train,speakers
vox2,id00039,,,,,f,id00039,,train,speakers
vox2,id00040,,,,,m,id00040,,val,speakers
vox2,id00042,,,,,m,id00042,,test,speakers
vox2,id00043,,,,,f,id00043,,train,speakers
vox2,id00044,,,,,m,id00044,,train,speakers
vox2,id00046,,,,,m,id00046,,train,speakers
vox2,id00047,,,,,m,id00047,,train,speakers
vox2,id00049,,,,,m,id00049,,val,speakers
vox2,id00050,,,,,m,id00050,,val,speakers
vox2,id00051,,,,,m,id00051,,test,speakers
vox2,id00052,,,,,m,id00052,,train,speakers
vox2,id00053,,,,,m,id00053,,train,speakers
vox2,id00055,,,,,m,id00055,,train,speakers
vox2,id00056,,,,,m,id00056,,train,speakers
vox2,id00058,,,,,m,id00058,,val,speakers
vox2,id00059,,,,,m,id00059,,train,speakers
vox2,id00060,,,,,m,id00060,,test,speakers
vox2,id00062,,,,,m,id00062,,train,speakers
vox2,id00063,,,,,m,id00063,,train,speakers
vox2,id00064,,,,,m,id00064,,train,speakers
vox2,id00066,,,,,m,id00066,,train,speakers
vox2,id00067,,,,,f,id00067,,val,speakers
vox2,id00068,,,,,f,id00068,,train,speakers
vox2,id00069,,,,,f,id00069,,train,speakers
vox2,id00070,,,,,m,id00070,,train,speakers
vox2,id00071,,,,,f,id00071,,train,speakers
vox2,id00073,,,,,f,id00073,,train,speakers
vox2,id00074,,,,,m,id00074,,train,speakers
vox2,id00075,,,,,m,id00075,,train,speakers
vox2,id00076,,,,,f,id00076,,val,speakers
vox2,id00078,,,,,m,id00078,,train,speakers
vox2,id00079,,,,,m,id00079,,train,speakers
vox2,id00080,,,,,m,id00080,,train,speakers
vox2,id00082,,,,,m,id00082,,train,speakers
vox2,id00083,,,,,m,id00083,,train,speakers
vox2,id00084,,,,,m,id00084,,train,speakers
vox2,id00085,,,,,m,id00085,,val,speakers
vox2,id00086,,,,,m,id00086,,train,speakers
vox2,id00087,,,,,m,id00087,,train,speakers
vox2,id00088,,,,,m,id00088,,train,speakers
vox2,id00089,,,,,m,id00089,,train,speakers
vox2,id00090,,,,,f,id00090,,train,speakers
vox2,id00091,,,,,f,id00091,,train,speakers
vox2,id00092,,,,,f,id00092,,train,speakers
vox2,id00096,,,,,m,id00096,,train,speakers
vox2,id00097,,,,,f,id00097,,train,speakers
vox2,id00098,,,,,f,id00098,,train,speakers
vox2,id00099,,,,,f,id00099,,train,speakers
vox2,id00100,,,,,f,id00100,,train,speakers
vox2,id00103,,,,,m,id00103,,val,speakers
vox2,id00104,,,,,f,id00104,,val,speakers
vox2,id00105,,,,,f,id00105,,test,speakers
vox2,id00109,,,,,f,id00109,,train,speakers
vox2,id00111,,,,,f,id00111,,train,speakers
vox2,id00114,,,,,f,id00114,,test,speakers
vox2,id00116,,,,,m,id00116,,train,speakers
vox2,id00117,,,,,m,id00117,,train,speakers
vox2,id00126,,,,,m,id00126,,train,speakers
vox2,id00127,,,,,m,id00127,,train,speakers
vox2,id00128,,,,,m,id00128,,train,speakers
vox2,id00129,,,,,m,id00129,,train,speakers
vox2,id00134,,,,,f,id00134,,train,speakers
vox2,id00137,,,,,f,id00137,,train,speakers
vox2,id00144,,,,,f,id00144,,train,speakers
vox2,id00145,,,,,f,id00145,,train,speakers
vox2,id00146,,,,,f,id00146,,train,speakers
vox2,id00149,,,,,f,id00149,,train,speakers
vox2,id00151,,,,,m,id00151,,train,speakers
vox2,id00155,,,,,f,id00155,,train,speakers
vox2,id00159,,,,,m,id00159,,train,speakers
vox2,id00161,,,,,m,id00161,,train,speakers
vox2,id00163,,,,,m,id00163,,train,speakers
vox2,id00164,,,,,m,id00164,,train,speakers
vox2,id00165,,,,,m,id00165,,train,speakers
vox2,id00166,,,,,m,id00166,,val,speakers
vox2,id00167,,,,,m,id00167,,train,speakers
vox2,id00168,,,,,m,id00168,,train,speakers
vox2,id00169,,,,,m,id00169,,train,speakers
vox2,id00170,,,,,m,id00170,,train,speakers
vox2,id00171,,,,,m,id00171,,train,speakers
vox2,id00172,,,,,m,id00172,,train,speakers
vox2,id00173,,,,,m,id00173,,train,speakers
vox2,id00175,,,,,m,id00175,,val,speakers
vox2,id00176,,,,,m,id00176,,train,speakers
vox2,id00177,,,,,m,id00177,,train,speakers
vox2,id00179,,,,,m,id00179,,train,speakers
vox2,id00180,,,,,f,id00180,,train,speakers
vox2,id00181,,,,,m,id00181,,train,speakers
vox2,id00183,,,,,m,id00183,,train,speakers
vox2,id00184,,,,,m,id00184,,val,speakers
vox2,id00185,,,,,m,id00185,,train,speakers
vox2,id00186,,,,,m,id00186,,train,speakers
vox2,id00187,,,,,m,id00187,,train,speakers
vox2,id00188,,,,,f,id00188,,train,speakers
vox2,id00189,,,,,f,id00189,,train,speakers
vox2,id00190,,,,,f,id00190,,train,speakers
vox2,id00191,,,,,m,id00191,,train,speakers
vox2,id00192,,,,,m,id00192,,train,speakers
vox2,id00195,,,,,m,id00195,,train,speakers
vox2,id00197,,,,,m,id00197,,train,speakers
vox2,id00198,,,,,m,id00198,,train,speakers
vox2,id00201,,,,,m,id00201,,train,speakers
vox2,id00202,,,,,m,id00202,,val,speakers
vox2,id00203,,,,,m,id00203,,val,speakers
vox2,id00206,,,,,m,id00206,,train,speakers
vox2,id00220,,,,,m,id00220,,val,speakers
vox2,id00221,,,,,m,id00221,,val,speakers
vox2,id00222,,,,,m,id00222,,test,speakers
vox2,id00223,,,,,m,id00223,,train,speakers
vox2,id00225,,,,,m,id00225,,train,speakers
vox2,id00231,,,,,f,id00231,,test,speakers
vox2,id00232,,,,,f,id00232,,train,speakers
vox2,id00234,,,,,f,id00234,,train,speakers
vox2,id00235,,,,,f,id00235,,train,speakers
vox2,id00236,,,,,f,id00236,,train,speakers
vox2,id00238,,,,,f,id00238,,val,speakers
vox2,id00239,,,,,f,id00239,,train,speakers
vox2,id00241,,,,,m,id00241,,train,speakers
vox2,id00242,,,,,m,id00242,,train,speakers
vox2,id00243,,,,,m,id00243,,train,speakers
vox2,id00244,,,,,m,id00244,,train,speakers
vox2,id00245,,,,,m,id00245,,train,speakers
vox2,id00246,,,,,m,id00246,,train,speakers
vox2,id00249,,,,,m,id00249,,train,speakers
vox2,id00251,,,,,f,id00251,,train,speakers
vox2,id00253,,,,,m,id00253,,train,speakers
vox2,id00254,,,,,m,id00254,,train,speakers
vox2,id00255,,,,,m,id00255,,train,speakers
vox2,id00257,,,,,m,id00257,,train,speakers
vox2,id00258,,,,,m,id00258,,train,speakers
vox2,id00259,,,,,f,id00259,,train,speakers
vox2,id00261,,,,,f,id00261,,train,speakers
vox2,id00262,,,,,f,id00262,,train,speakers
vox2,id00264,,,,,m,id00264,,train,speakers
vox2,id00265,,,,,m,id00265,,val,speakers
vox2,id00266,,,,,m,id00266,,train,speakers
vox2,id00268,,,,,m,id00268,,train,speakers
vox2,id00269,,,,,m,id00269,,train,speakers
